timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1034.294,-823.730,-1000.000,-991.699,760.254,-801.270,0
1034.298,261.719,-799.805,-931.152,117.188,-791.504,0
1034.302,-1000.000,-61.523,-701.660,-1000.000,-289.551,0
1034.306,-693.848,-6.836,-612.793,-1000.000,115.723,0
1034.310,954.590,-775.391,-879.883,171.875,-394.043,0
1034.314,330.078,-957.520,-986.328,317.871,-918.457,0
1034.318,-1000.000,-250.488,-743.164,-1000.000,-386.230,0
1034.322,-1000.000,127.441,-592.285,-1000.000,-95.215,0
1034.325,266.113,-511.230,-808.594,-26.367,-445.312,0
1034.329,788.086,-1000.000,-1000.000,467.285,-954.102,0
1034.333,-775.391,-490.723,-797.852,-890.625,-325.684,0
1034.337,-1000.000,143.066,-583.984,-1000.000,38.574,0
1034.341,-152.832,-364.258,-783.691,-334.473,-190.430,0
1034.345,-867.676,-1000.000,-1000.000,814.453,-493.164,0
1034.349,-78.125,-700.684,-908.691,-445.801,-556.641,0
1034.353,-1000.000,28.809,-708.984,-1000.000,-218.262,0
1034.357,-350.586,-217.285,-790.527,-960.938,-276.855,0
1034.361,-863.770,-981.445,-986.328,371.582,-778.320,0
1034.364,286.621,-840.820,-949.219,174.316,-793.457,0
1034.368,-1000.000,-113.770,-745.605,-1000.000,-278.809,0
1034.372,-839.844,3.418,-715.820,-1000.000,-189.941,0
1034.376,785.156,-729.004,-935.059,25.879,-707.520,0
1034.380,466.797,-988.770,-986.816,295.898,-758.301,0
1034.384,-1000.000,-299.316,-757.812,-987.793,-138.184,0
1034.388,-1000.000,155.762,-619.141,-1000.000,-83.496,0
1034.392,135.742,-464.844,-839.844,-124.512,-570.312,0
1034.396,947.266,-1000.000,-1000.000,429.199,-1000.000,0
1034.400,-557.129,-510.254,-778.809,-882.324,-217.773,0
1034.404,-1000.000,178.711,-577.148,-1000.000,171.875,0
1034.407,-164.062,-311.035,-809.082,-605.957,-447.266,0
1034.411,-837.891,-1000.000,-1000.000,608.887,-952.637,0
1034.415,63.965,-719.238,-904.297,-348.145,-667.480,0
1034.419,-1000.000,40.527,-688.477,-1000.000,-86.914,0
1034.423,-447.754,-127.930,-776.855,-998.535,-189.941,0
1034.427,-892.578,-914.062,-973.145,323.730,-651.367,0
1034.431,288.574,-886.230,-975.586,261.230,-839.355,0
1034.435,-1000.000,-143.555,-759.277,-1000.000,-197.266,0
1034.439,-955.078,92.285,-620.117,-1000.000,274.902,0
